Nom de l'arbitre,Nombres de matchs,Nombres de cartons distribués,Cartons jaunes,Cartons rouges,Cartons par matchs,Score disciplinaire
Ravshan Irmatov,2,14,14,0,7,7.0
Michael Oliver,3,18,18,0,6,6.0
Antonio Miguel Mateu Lahoz,5,32,31,0,6,6.0
Sergey Karasev,1,5,5,0,5,5.0
Ismail Elfath,3,15,14,0,5,4.0
Felix Brych,1,5,5,0,5,5.0
Daniele Orsato,3,15,15,0,5,5.0
Daniel Siebert,2,10,10,0,5,5.0
Slavko Vinčić,2,8,8,0,4,4.0
Mohamed Abdulla Hassan Mohd,2,8,8,0,4,4.0
Mark Geiger,3,14,14,0,4,4.0
Mario Alberto Escobar Toca,1,4,3,1,4,5.0
Janny Sikazwe,3,14,14,0,4,4.0
Gianluca Rocchi,3,13,13,0,4,4.0
Ghead Grisha,1,4,4,0,4,4.0
Fernando Andrés Rapallini,3,14,14,0,4,4.0
Cüneyt Çakιr,3,12,12,0,4,4.0
Andrés Matonte,1,4,4,0,4,4.0
Alireza Faghani,6,24,24,0,4,4.0
Abdulrahman Ibrahim Al Jassim,2,8,8,0,4,4.0
Wilton Pereira Sampaio,4,14,14,0,3,3.0
Victor Miguel de Freitas Gomes,2,6,6,0,3,3.0
Szymon Marciniak,5,17,16,0,3,3.0
Sandro Ricci,3,9,9,0,3,3.0
Raphael Claus,2,6,6,0,3,3.0
Nawaf Abdulla Ghayyath Shukralla,2,6,6,0,3,3.0
Milorad Mažić,3,9,9,0,3,3.0
Joel Antonio Aguilar Chicas,1,3,3,0,3,3.0
Facundo Tello Figueroa,3,9,8,0,3,2.0
Enrique Cáceres,2,6,6,0,3,3.0
Danny Desmond Makkelie,2,6,6,0,3,3.0
Damir Skomina,3,9,7,2,3,3.0
Chris Beath,1,3,3,0,3,3.0
Andrés Cunha,3,11,11,0,3,3.0
Néstor Fabián Pitana,5,14,14,0,2,2.0
Mustapha Ghorbal,2,4,4,0,2,2.0
Malang Diedhiou,3,8,7,0,2,2.0
César Arturo Ramos Palazuelos,7,14,14,0,2,2.0
Björn Kuipers,4,10,10,0,2,2.0
Bakary Papa Gassama,2,4,4,0,2,2.0
Anthony Taylor,2,5,5,0,2,2.0
Wilmar Alexander Roldán Pérez,2,3,3,0,1,1.0
Stéphanie Frappart,1,1,1,0,1,1.0
Matthew Conger,2,2,2,0,1,1.0
Jesús Valenzuela Sáez,2,3,3,0,1,1.0
Jair Marrufo,1,1,1,0,1,1.0
Ivan Arcides Barton Cisneros,3,3,3,0,1,1.0
Clément Turpin,5,8,8,0,1,1.0
